Title,Name,OrderIndex,DataType,Address,Length
EQ_03,BUSY_FromSTK,10,Bit,D10420.A,1
EQ_03,COMPLETE_FromSTK,11,Bit,D10420.B,1
EQ_03,CRANE_1_FromSTK,12,Bit,D10420.C,1
EQ_03,CRANE_2_FromSTK,13,Bit,D10420.D,1
EQ_03,A.Error_FromSTK,14,Bit,D10420.E,1
EQ_03,ForkNumber_FromSTK,15,Bit,D10420.F,1
EQ_03,CSTID,16,WordBlock,W2920,10
EQ_04,L_REQ,0,Bit,D10424.0,1
EQ_04,U_REQ,1,Bit,D10424.1,1
EQ_04,Ready,2,Bit,D10424.2,1
EQ_04,CARRIER,3,Bit,D10424.3,1
EQ_04,P.Error,4,Bit,D10424.4,1
EQ_04,Spare,5,Bit,D10424.5,1
EQ_04,P.Online,6,Bit,D10424.6,1
EQ_04,P.E-STOP,7,Bit,D10424.7,1
EQ_04,Transferring_FromSTK,8,Bit,D10424.8,1
EQ_04,TR_REQ_FromSTK,9,Bit,D10424.9,1
EQ_04,BUSY_FromSTK,10,Bit,D10424.A,1
EQ_04,COMPLETE_FromSTK,11,Bit,D10424.B,1
EQ_04,CRANE_1_FromSTK,12,Bit,D10424.C,1
EQ_04,CRANE_2_FromSTK,13,Bit,D10424.D,1
EQ_04,A.Error_FromSTK,14,Bit,D10424.E,1
EQ_04,ForkNumber_FromSTK,15,Bit,D10424.F,1
EQ_04,CSTID,16,WordBlock,W2930,10
EQ_05,L_REQ,0,Bit,D10428.0,1
EQ_05,U_REQ,1,Bit,D10428.1,1
EQ_05,Ready,2,Bit,D10428.2,1
EQ_05,CARRIER,3,Bit,D10428.3,1
EQ_05,P.Error,4,Bit,D10428.4,1
EQ_05,Spare,5,Bit,D10428.5,1
EQ_05,P.Online,6,Bit,D10428.6,1
EQ_05,P.E-STOP,7,Bit,D10428.7,1
EQ_05,Transferring_FromSTK,8,Bit,D10428.8,1
EQ_05,TR_REQ_FromSTK,9,Bit,D10428.9,1
EQ_05,BUSY_FromSTK,10,Bit,D10428.A,1
EQ_05,COMPLETE_FromSTK,11,Bit,D10428.B,1
